site_code,site_label,mission,product_name,acq_start,cloud_pct
DK00FX113,"Hirsholmene, Kattegat",S1,S1C_IW_GRDH_1SDV_20250917T053938_20250917T054003_004160_00842D_48DD.SAFE,2025-09-17T05:39:38.422000Z,
DK00FX113,"Hirsholmene, Kattegat",S1,S1C_IW_GRDH_1SDV_20250917T165258_20250917T165323_004167_008466_3120.SAFE,2025-09-17T16:52:58.930000Z,
DK00FX113,"Hirsholmene, Kattegat",S1,S1A_IW_GRDH_1SDV_20250918T053215_20250918T053240_061038_079B2F_5FA9.SAFE,2025-09-18T05:32:15.825575Z,
DK00FX113,"Hirsholmene, Kattegat",S1,S1C_IW_GRDH_1SDV_20250922T170103_20250922T170128_004240_008699_2AF5.SAFE,2025-09-22T17:01:03.387000Z,
DK00FX113,"Hirsholmene, Kattegat",S1,S1A_IW_GRDH_1SDV_20250923T054038_20250923T054103_061111_079E0E_7D48.SAFE,2025-09-23T05:40:38.695741Z,
DK00FX113,"Hirsholmene, Kattegat",S1,S1C_IW_GRDH_1SDV_20250924T053124_20250924T053149_004262_008748_C9E1.SAFE,2025-09-24T05:31:24.080000Z,
DK00FX113,"Hirsholmene, Kattegat",S1,S1C_IW_GRDH_1SDV_20250929T053938_20250929T054003_004335_008987_D3AA.SAFE,2025-09-29T05:39:38.613000Z,
DK00FX113,"Hirsholmene, Kattegat",S1,S1C_IW_GRDH_1SDV_20250929T165259_20250929T165324_004342_0089C0_3387.SAFE,2025-09-29T16:52:59.053000Z,
DK00FX113,"Hirsholmene, Kattegat",S1,S1A_IW_GRDH_1SDV_20250930T053215_20250930T053240_061213_07A23B_6856.SAFE,2025-09-30T05:32:15.921170Z,
DK00FX113,"Hirsholmene, Kattegat",S1,S1C_IW_GRDH_1SDV_20251004T170103_20251004T170128_004415_008BF0_17BB.SAFE,2025-10-04T17:01:03.396000Z,
DK00FX113,"Hirsholmene, Kattegat",S1,S1A_IW_GRDH_1SDV_20251005T054038_20251005T054103_061286_07A523_999D.SAFE,2025-10-05T05:40:38.846457Z,
DK00FX113,"Hirsholmene, Kattegat",S1,S1C_IW_GRDH_1SDV_20251006T053124_20251006T053149_004437_008CA2_CE45.SAFE,2025-10-06T05:31:24.501000Z,
DK00FX113,"Hirsholmene, Kattegat",S1,S1C_IW_GRDH_1SDV_20251011T053938_20251011T054003_004510_008ED9_F09B.SAFE,2025-10-11T05:39:38.823000Z,
DK00FX113,"Hirsholmene, Kattegat",S1,S1C_IW_GRDH_1SDV_20251011T165259_20251011T165324_004517_008F11_5D41.SAFE,2025-10-11T16:52:59.277000Z,
DK00FX113,"Hirsholmene, Kattegat",S1,S1A_IW_GRDH_1SDV_20251012T053216_20251012T053241_061388_07A946_BB6D.SAFE,2025-10-12T05:32:16.556785Z,
DK00FX113,"Hirsholmene, Kattegat",S1,S1C_IW_GRDH_1SDV_20251016T170103_20251016T170128_004590_00913B_2748.SAFE,2025-10-16T17:01:03.557000Z,
DK00FX113,"Hirsholmene, Kattegat",S1,S1A_IW_GRDH_1SDV_20251017T054039_20251017T054104_061461_07AC2A_1955.SAFE,2025-10-17T05:40:39.004422Z,
DK00FX113,"Hirsholmene, Kattegat",S1,S1C_IW_GRDH_1SDV_20251018T053124_20251018T053149_004612_0091EF_EB8D.SAFE,2025-10-18T05:31:24.493000Z,
DK00FX113,"Hirsholmene, Kattegat",S1,S1C_IW_GRDH_1SDV_20251023T053938_20251023T054003_004685_009421_EDA9.SAFE,2025-10-23T05:39:38.747000Z,
DK00FX113,"Hirsholmene, Kattegat",S1,S1C_IW_GRDH_1SDV_20251023T165259_20251023T165324_004692_00945B_50EE.SAFE,2025-10-23T16:52:59.170000Z,
