scene_id,product_name,acq_start,acq_end,acq_mid,site_code,bbox_w,bbox_s,bbox_e,bbox_n,n_positions,n_vessels,n_in_site,n_fishing_in_site,n_trawling_in_site
S1D_IW_GRDH_1SDV_20260813T170107_20260813T170132_004110_007814_52E6,S1D_IW_GRDH_1SDV_20260813T170107_20260813T170132_004110_007814_52E6.SAFE,2026-08-13T17:01:07.943732+00:00,2026-08-13T17:01:32.941784+00:00,2026-08-13T17:01:20.442758+00:00,DK00FX113,10.321000000000002,57.230000000000004,10.767,57.686,104942,116,7,3,0
S1C_IW_GRDH_1SDV_20260814T053939_20260814T054004_008987_011D54_B1A4,S1C_IW_GRDH_1SDV_20260814T053939_20260814T054004_008987_011D54_B1A4.SAFE,2026-08-14T05:39:39.592616+00:00,2026-08-14T05:40:04.590272+00:00,2026-08-14T05:39:52.091444+00:00,DK00FX113,10.321000000000002,57.230000000000004,10.767,57.686,111488,109,6,5,1
S1D_IW_GRDH_1SDV_20260820T053952_20260820T054017_004205_007B51_A46D,S1D_IW_GRDH_1SDV_20260820T053952_20260820T054017_004205_007B51_A46D.SAFE,2026-08-20T05:39:52.657948+00:00,2026-08-20T05:40:17.656595+00:00,2026-08-20T05:40:05.157272+00:00,DK00FX113,10.321000000000002,57.230000000000004,10.767,57.686,82172,100,5,4,1
S1C_IW_GRDH_1SDV_20260821T053125_20260821T053150_009089_0120B4_CA72,S1C_IW_GRDH_1SDV_20260821T053125_20260821T053150_009089_0120B4_CA72.SAFE,2026-08-21T05:31:25.428566+00:00,2026-08-21T05:31:50.427182+00:00,2026-08-21T05:31:37.927874+00:00,DK00FX113,10.321000000000002,57.230000000000004,10.767,57.686,87693,105,5,4,1
S1D_IW_GRDH_1SDV_20260825T170108_20260825T170133_004285_007E34_65C9,S1D_IW_GRDH_1SDV_20260825T170108_20260825T170133_004285_007E34_65C9.SAFE,2026-08-25T17:01:08.525191+00:00,2026-08-25T17:01:33.524730+00:00,2026-08-25T17:01:21.024961+00:00,DK00FX113,10.321000000000002,57.230000000000004,10.767,57.686,76664,101,9,3,0
S1C_IW_GRDH_1SDV_20260826T053940_20260826T054005_009162_01232C_0084,S1C_IW_GRDH_1SDV_20260826T053940_20260826T054005_009162_01232C_0084.SAFE,2026-08-26T05:39:40.152966+00:00,2026-08-26T05:40:05.150642+00:00,2026-08-26T05:39:52.651804+00:00,DK00FX113,10.321000000000002,57.230000000000004,10.767,57.686,65592,83,3,3,0
S1C_IW_GRDH_1SDV_20260826T165300_20260826T165325_009169_012370_935C,S1C_IW_GRDH_1SDV_20260826T165300_20260826T165325_009169_012370_935C.SAFE,2026-08-26T16:53:00.646961+00:00,2026-08-26T16:53:25.645269+00:00,2026-08-26T16:53:13.146115+00:00,DK00FX113,10.321000000000002,57.230000000000004,10.767,57.686,71659,104,8,3,1
S1D_IW_GRDH_1SDV_20260827T053138_20260827T053203_004307_007EF6_189E,S1D_IW_GRDH_1SDV_20260827T053138_20260827T053203_004307_007EF6_189E.SAFE,2026-08-27T05:31:38.785352+00:00,2026-08-27T05:32:03.784163+00:00,2026-08-27T05:31:51.284758+00:00,DK00FX113,10.321000000000002,57.230000000000004,10.767,57.686,52939,91,5,3,1
S1C_IW_GRDH_1SDV_20260831T170105_20260831T170130_009242_0125CD_66F2,S1C_IW_GRDH_1SDV_20260831T170105_20260831T170130_009242_0125CD_66F2.SAFE,2026-08-31T17:01:05.035950+00:00,2026-08-31T17:01:30.034772+00:00,2026-08-31T17:01:17.535361+00:00,DK00FX113,10.321000000000002,57.230000000000004,10.767,57.686,75854,94,7,7,0
S1D_IW_GRDH_1SDV_20260901T053953_20260901T054018_004380_00817C_D5A7,S1D_IW_GRDH_1SDV_20260901T053953_20260901T054018_004380_00817C_D5A7.SAFE,2026-09-01T05:39:53.261507+00:00,2026-09-01T05:40:18.260162+00:00,2026-09-01T05:40:05.760835+00:00,DK00FX113,10.321000000000002,57.230000000000004,10.767,57.686,74716,96,5,5,4
S1C_IW_GRDH_1SDV_20260902T053125_20260902T053150_009264_01268E_2546,S1C_IW_GRDH_1SDV_20260902T053125_20260902T053150_009264_01268E_2546.SAFE,2026-09-02T05:31:25.842525+00:00,2026-09-02T05:31:50.839656+00:00,2026-09-02T05:31:38.341091+00:00,DK00FX113,10.321000000000002,57.230000000000004,10.767,57.686,81843,96,6,6,4
S1D_IW_GRDH_1SDV_20260906T170108_20260906T170133_004460_00844F_D310,S1D_IW_GRDH_1SDV_20260906T170108_20260906T170133_004460_00844F_D310.SAFE,2026-09-06T17:01:08.779495+00:00,2026-09-06T17:01:33.777594+00:00,2026-09-06T17:01:21.278545+00:00,DK00FX113,10.321000000000002,57.230000000000004,10.767,57.686,93122,105,3,3,0
S1C_IW_GRDH_1SDV_20260907T165301_20260907T165326_009344_01295C_3156,S1C_IW_GRDH_1SDV_20260907T165301_20260907T165326_009344_01295C_3156.SAFE,2026-09-07T16:53:01.062676+00:00,2026-09-07T16:53:26.062564+00:00,2026-09-07T16:53:13.562620+00:00,DK00FX113,10.321000000000002,57.230000000000004,10.767,57.686,87607,116,4,4,0
S1D_IW_GRDH_1SDV_20260908T053138_20260908T053203_004482_008515_D381,S1D_IW_GRDH_1SDV_20260908T053138_20260908T053203_004482_008515_D381.SAFE,2026-09-08T05:31:38.970414+00:00,2026-09-08T05:32:03.969276+00:00,2026-09-08T05:31:51.469845+00:00,DK00FX113,10.321000000000002,57.230000000000004,10.767,57.686,74856,97,4,4,1
