scene_id,mmsi,lat,lon,sog,cog,method,dt_before_s,dt_after_s
S1A_IW_GRDH_1SDV_20260401T170959_20260401T171024_063889_080915_0803,219007572,57.331783,10.536033,0.0,293.8,interpolated,8,1
S1A_IW_GRDH_1SDV_20260401T170959_20260401T171024_063889_080915_0803,220368000,57.492095,10.506407,0.0,122.4,interpolated,17,0
S1A_IW_GRDH_1SDV_20260401T170959_20260401T171024_063889_080915_0803,219032670,57.332077,10.53358,0.1,146.7,interpolated,9,0
S1A_IW_GRDH_1SDV_20260401T170959_20260401T171024_063889_080915_0803,219005323,57.44285,10.54661,0.0,0.0,interpolated,177,2
S1A_IW_GRDH_1SDV_20260401T170959_20260401T171024_063889_080915_0803,219005954,57.494067,10.50201,0.0,0.0,interpolated,66,11
S1A_IW_GRDH_1SDV_20260401T170959_20260401T171024_063889_080915_0803,219002732,57.439267,10.549633,0.1,318.4,interpolated,37,2
S1A_IW_GRDH_1SDV_20260401T170959_20260401T171024_063889_080915_0803,219015617,57.493471,10.502497,0.0,196.9,interpolated,22,14
S1A_IW_GRDH_1SDV_20260401T170959_20260401T171024_063889_080915_0803,219003066,57.493051,10.506156,0.0,,interpolated,5,3
S1A_IW_GRDH_1SDV_20260401T170959_20260401T171024_063889_080915_0803,219006971,57.492895,10.505844,0.0,104.0,interpolated,5,3
S1A_IW_GRDH_1SDV_20260401T170959_20260401T171024_063889_080915_0803,219010207,57.492373,10.504904,0.0,93.1,interpolated,4,6
S1A_IW_GRDH_1SDV_20260401T170959_20260401T171024_063889_080915_0803,219013885,57.49394,10.502048,0.1,31.4,interpolated,13,7
S1A_IW_GRDH_1SDV_20260401T170959_20260401T171024_063889_080915_0803,220359000,57.494674,10.503846,0.0,124.4,interpolated,2,6
S1A_IW_GRDH_1SDV_20260401T170959_20260401T171024_063889_080915_0803,219002585,57.493805,10.502117,0.1,22.6,interpolated,4,5
S1A_IW_GRDH_1SDV_20260401T170959_20260401T171024_063889_080915_0803,311001250,57.440061,10.549973,0.0,285.8,interpolated,177,4
S1A_IW_GRDH_1SDV_20260401T170959_20260401T171024_063889_080915_0803,219001522,57.494373,10.501866,0.0,98.7,interpolated,14,4
S1A_IW_GRDH_1SDV_20260401T170959_20260401T171024_063889_080915_0803,219014875,57.44114,10.546545,0.0,298.6,interpolated,0,2
S1A_IW_GRDH_1SDV_20260401T170959_20260401T171024_063889_080915_0803,220349000,57.492617,10.507911,0.0,35.0,interpolated,13,6
S1A_IW_GRDH_1SDV_20260401T170959_20260401T171024_063889_080915_0803,219003138,57.492636,10.505044,0.0,,interpolated,12,7
S1A_IW_GRDH_1SDV_20260401T170959_20260401T171024_063889_080915_0803,220127000,57.492232,10.506784,0.0,24.7,interpolated,2,7
