mmsi,name,imo,callsign,ship_type,length_m,width_m,mobile_class
111219507,,,0,SAR,20.0,5.0,Class A
209114000,RIX AMETHYST,9173185,5BQN4,Cargo,89.0,12.0,Class A
209272000,REM SERVER,9482366,5BHC3,Other,95.0,20.0,Class A
209332000,RIX PACIFIC,9167978,5BAV5,Cargo,90.0,12.0,Class A
209525000,AALBORG WHITE,9851751,5BEH5,Cargo,90.0,13.0,Class A
210051000,RINA,9152820,5BPD5,Tanker,120.0,24.0,Class A
210549000,RIX SPIRIT,9136204,5BDH6,Cargo,90.0,14.0,Class A
211123580,TINKERBELL,,DF4764,Pleasure,15.0,5.0,Class B
211133460,BUTTERFLY,,DK4586,Sailing,,,Class B
211156220,MOPION,,DH4540,Sailing,13.0,4.0,Class B
211174900,HERTA,,DD4419,Sailing,10.0,4.0,Class B
211232340,THOR HEYERDAHL,5221491,DKQH,Sailing,50.0,6.0,Class A
211242190,OM,,DG2878,Sailing,10.0,3.0,Class B
211243410,ONYX,,DF5335,Sailing,11.0,3.0,Class B
211295480,PLAYHARDER,,DJ4062,Pleasure,10.0,4.0,Class B
211295570,POWERPLAY,,DJ4322,Pleasure,10.0,4.0,Class B
211353600,TSCHAIKA,,DB7131,Pleasure,9.0,3.0,Class B
211363380,MONA LISA,,DA9090,Pleasure,13.0,4.0,Class B
211424030,SKUUM,,DF8394,Pleasure,11.0,3.0,Class B
211446030,MATCHBOX,,DF5518,Sailing,10.0,4.0,Class B
211489600,JACARANDA,,DH6448,Sailing,11.0,4.0,Class B
211492290,MERMAID,,DFSR,Sailing,10.0,3.0,Class B
211530530,THYRA,,DLWO,Sailing,14.0,4.0,Class B
211532640,SY SPEZI,,DJ4716,Pleasure,13.0,4.0,Class B
211535450,TANTE HELNY,,DC5352,Sailing,9.0,3.0,Class B
211579430,ZEARUN,,DC6369,Sailing,11.0,3.0,Class B
211637910,ORION 3,,DG7869,Sailing,10.0,3.0,Class B
211709930,ATHENA,,DH8943,Pleasure,13.0,4.0,Class B
211733550,VENGA,,DA4785,Sailing,10.0,3.0,Class B
212536000,HALLAND,9436238,5BMA2,Cargo,119.0,16.0,Class A
212809000,AASFOSS,9904869,5BTU6,Cargo,120.0,16.0,Class A
215211000,KEY FIGHTER,8712166,9HA2671,Tanker,104.0,17.0,Class A
215626000,ELISAR,9595747,9HA2773,Cargo,186.0,28.0,Class A
215672000,MALYOVITSA,9835795,9HA5238,Cargo,190.0,32.0,Class A
218179000,ILKA,8504947,DIZZ,Cargo,72.0,12.0,Class A
219000003,M.A.R.S. PROJEKT 3,,MARS3,Tanker,370.0,60.0,Class B
219000076,MRD1,,,Military,12.0,4.0,Class A
219000125,DANISH WARSHIP A543,,OUGP,Military,29.0,7.0,Class A
219000146,SIRIUS 2,,OVMG,,9.0,3.0,Class A
219000159,MHV 905 ASKOE,,OVLE,Military,24.0,6.0,Class A
219000192,MHV 811 APOLLO,,OVMU,Military,,,Class A
219000407,MARGRETE LAESOE,9139438,OZMB,Passenger,69.0,16.0,Class A
219000416,METTE MILJOE,,OUEB,Military,30.0,8.0,Class A
219000672,MADAM BLAA,,XP6290,Pleasure,15.0,4.0,Class B
219000734,ANE LAESOE,9107370,OXXL,Passenger,54.0,15.0,Class A
219000784,SOPHIE,,XPB3016,Sailing,,,Class B
219000872,M/F HALS EGENSE,8878403,OXMS,Passenger,24.0,8.0,Class A
219000873,EGENSE,8878415,OXXS,Passenger,28.0,8.0,Class A
219000942,W.KLITGAARD,,OXBX,Sailing,,,Class A
219001125,BJARKE  AS520,,OVZK,Fishing,15.0,6.0,Class A
219001239,SVAVA,7637228,OXYD,Towing,19.0,9.0,Class A
219001259,VILMA HOEJ,6616904,OUSF2,Dredging,43.0,8.0,Class A
219001405,NITOUCHE,,XPC2889,Sailing,9.0,3.0,Class B
219001416,NAVIGATOR,,XPC4302,Pleasure,14.0,4.0,Class B
219001461,AASE HOJ,7731751,OYTI2,Dredging,35.0,8.0,Class A
219001522,SOREN STRANDBY,,OXPM,Fishing,18.0,5.0,Class A
219001647,ELISABETH HOEJ,6922391,OYRQ2,Other,36.0,6.0,Class A
